"Name","Measure","Measure.Info","Geo.Type.Name","Geo.Place.Name","Time.Period","Data.Value","season_abb","Year","above_NAAQS_standard"
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Crotona -Tremont","Winter 2009-10",6.1,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","High Bridge - Morrisania","Winter 2009-10",5.99,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Hunts Point - Mott Haven","Winter 2009-10",3.54,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenpoint","Winter 2009-10",2.93,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Downtown - Heights - Slope","Winter 2009-10",2.65,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bedford Stuyvesant - Crown Heights","Winter 2009-10",3.19,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East New York","Winter 2009-10",2.86,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Sunset Park","Winter 2009-10",2.32,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Borough Park","Winter 2009-10",2.77,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Flatbush - Flatbush","Winter 2009-10",3.12,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Canarsie - Flatlands","Winter 2009-10",2.33,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bensonhurst - Bay Ridge","Winter 2009-10",2.1,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Coney Island - Sheepshead Bay","Winter 2009-10",2.21,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Williamsburg - Bushwick","Winter 2009-10",3.33,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Washington Heights","Winter 2009-10",7.28,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Central Harlem - Morningside Heights","Winter 2009-10",5.59,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Harlem","Winter 2009-10",4.89,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper West Side","Winter 2009-10",7.48,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper East Side","Winter 2009-10",8.5,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Chelsea - Clinton","Winter 2009-10",5.65,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Gramercy Park - Murray Hill","Winter 2009-10",6.73,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenwich Village - SoHo","Winter 2009-10",4.78,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Union Square - Lower East Side","Winter 2009-10",5.25,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Lower Manhattan","Winter 2009-10",2.89,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Long Island City - Astoria","Winter 2009-10",3.63,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","West Queens","Winter 2009-10",3.84,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Flushing - Clearview","Winter 2009-10",3.01,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bayside - Little Neck","Winter 2009-10",2.41,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Ridgewood - Forest Hills","Winter 2009-10",3.25,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fresh Meadows","Winter 2009-10",2.78,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Southwest Queens","Winter 2009-10",2.76,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Jamaica","Winter 2009-10",2.52,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Southeast Queens","Winter 2009-10",2.21,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Rockaways","Winter 2009-10",1.9,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Port Richmond","Winter 2009-10",1.35,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Stapleton - St. George","Winter 2009-10",1.45,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Willowbrook","Winter 2009-10",1.18,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","South Beach - Tottenville","Winter 2009-10",1.01,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Kingsbridge - Riverdale","Winter 2010-11",5.31,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Northeast Bronx","Winter 2010-11",4.25,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fordham - Bronx Pk","Winter 2010-11",7.67,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Pelham - Throgs Neck","Winter 2010-11",4.27,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Crotona -Tremont","Winter 2010-11",7.79,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","High Bridge - Morrisania","Winter 2010-11",7.62,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Hunts Point - Mott Haven","Winter 2010-11",4.5,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenpoint","Winter 2010-11",3.66,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Downtown - Heights - Slope","Winter 2010-11",3.42,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bedford Stuyvesant - Crown Heights","Winter 2010-11",3.91,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East New York","Winter 2010-11",3.36,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Sunset Park","Winter 2010-11",3.07,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Borough Park","Winter 2010-11",3.48,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Flatbush - Flatbush","Winter 2010-11",3.8,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Canarsie - Flatlands","Winter 2010-11",2.67,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bensonhurst - Bay Ridge","Winter 2010-11",2.72,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Coney Island - Sheepshead Bay","Winter 2010-11",2.59,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Williamsburg - Bushwick","Winter 2010-11",4.12,"W",2011,FALSE
