"ARREST_PRECINCT","Year","male","female","felony","misdemeanor","violation","<18","18-24","25-44","45-64","65+","drug_use","larceny","DUI","assault","total_crime"
71,2022,1717,350,998,1043,20,65,422,1171,364,45,70,130,25,622,2067
72,2006,3684,587,1086,2948,211,357,1117,2113,654,30,1392,96,176,601,4271
72,2007,3797,622,1063,3001,315,381,1243,2174,600,18,1361,124,147,685,4419
72,2008,3445,591,1307,2413,295,418,1046,2011,533,28,1027,127,121,637,4036
72,2009,3264,514,1157,2352,246,358,1140,1766,494,20,1145,116,81,583,3778
72,2010,3535,463,1103,2567,292,478,1175,1813,515,17,1179,118,89,544,3998
72,2011,3180,451,1007,2202,399,310,1082,1680,539,20,1026,161,80,541,3631
72,2012,3111,444,913,2375,247,309,1063,1645,516,22,953,130,134,596,3555
72,2013,3057,493,998,2275,268,273,909,1785,555,28,672,181,173,541,3550
72,2014,3092,497,962,2381,238,212,986,1826,541,24,602,285,200,555,3589
72,2015,2727,416,950,1985,184,164,788,1649,512,30,502,229,160,527,3143
72,2016,2824,436,979,1990,232,168,763,1740,570,19,474,257,129,599,3260
72,2017,3205,543,1063,2394,243,179,801,2036,704,28,566,311,114,592,3748
72,2018,2770,516,1076,2028,134,134,679,1782,649,42,429,356,105,559,3286
72,2019,2684,467,1170,1811,141,101,563,1832,613,42,221,477,137,549,3151
72,2020,1730,297,788,1188,25,52,349,1198,391,37,103,316,68,519,2027
72,2021,1720,331,817,1209,9,49,325,1235,415,27,164,311,35,514,2051
72,2022,2096,332,1011,1373,19,72,347,1506,463,40,125,492,46,583,2428
73,2006,7664,1417,2388,5399,1264,992,2260,4113,1678,37,3208,299,34,1013,9081
73,2007,9198,1767,2535,6644,1708,992,2857,5024,2036,55,4005,262,84,1059,10965
73,2008,9425,1867,2424,7106,1712,1141,2895,5042,2153,60,3814,214,66,1069,11292
73,2009,10403,2149,2312,8490,1716,1213,3235,5556,2471,77,4382,257,62,1295,12552
73,2010,11040,2069,2502,8968,1610,1266,3593,5701,2479,70,4519,207,68,1285,13109
73,2011,11976,2350,2795,9962,1552,1465,3835,5991,2919,116,4781,304,44,1324,14326
73,2012,10418,2334,3142,8177,1387,1309,3413,5331,2603,96,3141,264,39,1559,12752
73,2013,9072,1946,2756,6827,1393,1106,2849,4782,2192,89,1909,317,79,1441,11018
73,2014,8733,1761,2652,6220,1562,827,2655,4635,2297,80,1969,484,85,1406,10494
73,2015,7517,1443,2448,5395,1023,732,2180,4025,1963,60,1484,427,63,1267,8960
73,2016,6527,1331,2609,4626,549,470,1946,3767,1615,60,1035,410,71,1219,7858
73,2017,5137,1067,2186,3642,351,435,1412,2954,1353,50,1177,337,47,1165,6204
73,2018,4556,926,2240,2928,264,298,1257,2786,1094,47,892,389,48,1148,5482
73,2019,3607,802,1974,2303,118,289,1012,2311,764,33,514,293,44,1085,4409
73,2020,2307,469,1644,1092,30,163,732,1445,423,13,223,195,30,756,2776
73,2021,2108,471,1491,1049,35,120,612,1404,418,25,148,151,28,866,2579
73,2022,3176,680,1907,1808,129,155,730,2227,708,36,210,256,16,1114,3856
75,2006,10004,2200,3514,7841,798,1130,3386,5895,1739,53,4054,375,124,1589,12204
75,2007,10825,2261,3824,8312,855,1347,3740,6071,1879,47,4679,359,137,1758,13086
75,2008,11202,2471,3648,9119,847,1432,3896,6233,2055,57,4827,364,148,1853,13673
75,2009,12820,2605,3588,11016,784,1508,4479,7094,2284,60,5575,290,196,2099,15425
75,2010,12946,2559,3417,11190,858,1450,4895,6863,2225,72,5575,303,165,2132,15505
75,2011,12761,2987,3690,11222,806,1444,4755,6939,2546,64,5771,271,118,2107,15748
75,2012,12328,2904,3882,10379,916,1474,4397,6483,2785,93,4569,282,131,2229,15232
75,2013,11922,2791,3923,9632,1077,1123,4199,6460,2803,128,3708,399,186,2233,14713
75,2014,11194,2587,3824,8785,974,938,3737,6405,2596,105,3255,759,127,2241,13781
75,2015,9631,2199,3755,6964,974,887,3118,5454,2279,92,2193,905,103,1895,11830
75,2016,8180,2014,3747,5768,582,631,2771,4956,1769,67,1456,856,128,1989,10194
75,2017,6574,1570,3424,4513,176,568,2046,3959,1505,66,1310,788,116,1686,8144
75,2018,5272,1422,3013,3575,94,304,1623,3514,1200,53,811,784,103,1728,6694
75,2019,4816,1208,3187,2728,80,365,1401,3160,1038,60,578,653,72,1471,6024
75,2020,3198,595,2353,1405,21,184,881,2131,565,32,249,295,34,1037,3793
75,2021,3509,740,2656,1558,19,176,857,2440,738,38,203,514,41,1211,4249
75,2022,4680,1030,3119,2523,47,254,1045,3377,984,50,182,677,32,1601,5710
76,2006,2178,454,801,1671,145,215,550,1339,514,14,901,59,84,242,2632
76,2007,1951,373,603,1571,134,219,472,1147,468,17,856,55,86,212,2324
76,2008,1779,421,574,1489,123,243,439,1004,499,15,806,62,53,247,2200
76,2009,1751,385,530,1415,174,219,478,972,457,10,622,48,41,250,2136
76,2010,1707,369,542,1307,208,229,473,936,420,18,551,62,35,281,2076
76,2011,1519,319,496,1144,188,227,426,789,387,9,472,69,44,279,1838
76,2012,1869,358,509,1511,193,214,553,982,460,18,771,74,35,232,2227
76,2013,1514,325,462,1216,146,141,354,874,443,27,423,73,46,251,1839
76,2014,1436,327,457,1150,139,93,350,891,408,21,409,127,52,204,1763
76,2015,1380,250,373,1092,155,84,354,824,357,11,363,104,38,188,1630
76,2016,1950,348,531,1511,198,103,482,1201,474,38,548,105,59,223,2298
76,2017,2009,395,573,1583,169,102,480,1222,567,33,614,139,51,237,2404
76,2018,1756,324,613,1306,92,72,378,1113,497,20,348,120,60,245,2080
76,2019,1449,233,635,923,73,49,262,982,376,13,201,167,52,193,1682
76,2020,646,116,366,372,12,22,112,414,206,8,72,107,14,144,762
76,2021,624,148,391,375,2,26,116,449,177,4,88,70,12,178,772
76,2022,667,181,394,436,5,31,112,501,196,8,95,98,27,203,848
77,2006,5109,984,2183,3669,221,453,1409,2877,1301,52,3017,98,22,626,6093
77,2007,5410,1004,2244,3873,260,590,1435,2891,1458,40,3126,122,67,682,6414
77,2008,5421,1118,2178,4097,242,601,1463,2889,1518,68,2966,160,51,648,6539
77,2009,5535,1091,1944,4353,314,548,1543,2883,1600,52,2758,147,49,685,6626
77,2010,5966,1111,1848,4721,481,633,1770,3063,1559,52,2617,120,41,822,7077
77,2011,5918,1039,2074,4253,606,667,1715,2842,1650,83,2513,160,42,797,6957
77,2012,5235,997,1699,3828,672,510,1577,2598,1494,53,1813,143,45,880,6232
77,2013,5208,1035,1732,3727,748,360,1451,2758,1595,79,1645,168,61,895,6243
77,2014,4748,977,1680,3314,688,316,1239,2601,1494,75,1472,228,55,781,5725
77,2015,3670,717,1457,2477,377,272,943,2050,1077,45,715,235,42,698,4387
77,2016,3650,701,1751,2305,217,218,972,2077,1032,52,655,293,48,749,4351
77,2017,3690,620,1832,2271,132,262,919,2162,919,48,749,269,55,703,4310
77,2018,3133,517,1733,1818,54,220,801,1789,798,42,620,270,44,652,3650
77,2019,2514,464,1499,1445,18,155,598,1530,663,32,338,275,32,633,2978
77,2020,1818,295,1248,846,8,119,489,1119,364,22,151,131,19,532,2113
77,2021,1596,300,1112,774,6,93,365,1068,340,30,81,97,18,488,1896
77,2022,1884,388,1289,938,28,93,444,1292,391,52,72,133,19,651,2272
78,2006,1737,296,623,1235,149,271,422,970,348,21,361,114,59,293,2033
78,2007,1381,294,476,1038,138,221,330,800,311,12,320,89,50,278,1675
78,2008,1413,261,448,1045,168,164,349,798,347,15,391,92,38,221,1674
78,2009,1389,270,416,1029,199,149,364,806,327,13,358,83,25,198,1659
78,2010,1234,236,346,861,247,144,323,674,315,14,255,77,14,154,1470
78,2011,1300,194,328,887,268,160,312,665,348,9,272,79,21,166,1494
78,2012,1453,350,345,1180,268,177,371,806,434,15,243,143,22,199,1803
78,2013,1835,467,435,1521,340,187,522,1001,580,12,236,250,26,206,2302
78,2014,1804,440,469,1431,336,181,527,966,555,15,183,577,52,189,2244
78,2015,1954,466,502,1580,327,169,572,1098,562,19,241,469,35,230,2420
78,2016,1903,475,657,1523,166,157,542,1198,459,22,227,685,54,221,2378
78,2017,1688,524,543,1534,124,114,474,1060,545,19,217,646,69,240,2212
78,2018,1398,385,475,1237,52,120,298,898,443,24,132,506,72,248,1783
78,2019,1015,305,472,829,8,74,251,659,311,25,56,457,27,227,1320
78,2020,623,168,259,522,4,39,155,404,186,7,53,226,13,145,791
78,2021,764,181,405,534,5,26,151,529,226,13,23,216,11,219,945
78,2022,1065,260,549,753,18,41,211,750,303,20,25,362,16,293,1325
79,2006,5904,1039,1917,3885,1114,475,1609,3224,1580,55,2446,149,48,767,6943
79,2007,6922,1325,2160,5075,983,544,1829,3876,1920,78,3267,181,106,910,8247
79,2008,6229,1254,2191,4696,571,547,1594,3317,1952,73,2712,184,81,872,7483
79,2009,8094,1373,2069,6592,773,583,2016,4238,2567,63,3409,192,124,993,9467
79,2010,6978,1408,1800,5877,654,536,1853,3785,2126,86,2522,170,118,994,8386
79,2011,6585,1182,1779,5241,724,606,1858,3214,2011,78,2192,209,92,933,7767
79,2012,6504,1291,1763,4880,1121,608,2082,3183,1852,70,1922,168,62,1076,7795
79,2013,6613,1189,1850,4574,1340,470,1993,3417,1843,79,1732,249,73,1004,7802
79,2014,5606,967,1714,3746,1086,466,1489,2900,1666,52,1223,428,71,972,6573
79,2015,4391,696,1399,2927,727,298,1107,2334,1295,53,727,373,42,747,5087
79,2016,3817,710,1468,2598,435,235,1064,2078,1116,34,735,336,43,800,4527
79,2017,3500,620,1384,2514,187,198,834,2010,1021,57,962,285,30,687,4120
79,2018,3234,594,1658,2087,68,157,761,1890,952,68,878,271,29,642,3828
79,2019,2620,441,1344,1623,76,162,610,1534,726,29,368,384,37,609,3061
79,2020,2154,369,1344,1154,13,96,492,1359,549,27,232,327,14,551,2523
79,2021,2116,373,1307,1153,23,87,501,1372,500,29,191,255,21,609,2489
79,2022,2297,519,1333,1449,19,98,481,1598,608,31,254,355,36,710,2816
81,2006,3355,671,1430,2347,236,440,998,1793,770,24,1594,84,25,537,4026
81,2007,4060,780,1582,2858,363,450,1237,2108,1013,31,1873,104,51,601,4840
81,2008,4128,900,1552,3011,452,487,1233,2233,1044,31,1955,101,42,534,5028
81,2009,4623,1020,1515,3534,577,515,1399,2524,1167,38,1972,113,45,589,5643
81,2010,5152,1089,1368,4206,637,532,1678,2634,1344,53,1855,115,42,835,6241
81,2011,4915,1003,1387,3815,693,554,1448,2417,1445,54,1558,155,63,774,5918
81,2012,4762,1013,1500,3668,587,501,1431,2429,1373,41,1340,140,84,777,5775
81,2013,4376,963,1542,3353,431,426,1455,2297,1115,46,1165,166,68,833,5339
81,2014,3983,844,1454,2918,444,320,1242,2154,1075,36,1073,229,68,712,4827
81,2015,3280,660,1260,2344,307,299,1073,1733,812,23,695,193,30,602,3940
81,2016,3099,648,1225,2182,293,217,857,1779,849,45,642,193,42,577,3747
81,2017,2421,527,1026,1763,116,162,642,1483,632,29,445,178,41,544,2948
81,2018,1702,455,942,1160,37,112,432,1144,448,21,339,142,8,516,2157
81,2019,1524,369,962,889,33,85,383,1015,385,25,248,159,24,493,1893
81,2020,1069,212,757,514,7,58,270,644,302,7,92,122,30,346,1281
81,2021,1214,219,803,598,24,34,294,812,280,13,129,76,18,403,1433
81,2022,1372,312,878,782,16,61,390,940,279,14,89,120,24,502,1684
83,2006,5732,1164,2286,4232,336,748,1647,3475,1010,14,2408,166,76,1056,6896
83,2007,5957,1190,2287,4389,448,651,1810,3495,1167,22,2896,177,44,1009,7147
83,2008,5879,1237,2331,4391,364,746,1904,3388,1054,24,2825,165,97,956,7116
83,2009,5995,1072,1918,4732,400,850,1863,3244,1077,33,3006,122,53,939,7067
83,2010,5799,1125,1935,4534,439,726,1913,3086,1160,39,2515,164,63,932,6924
83,2011,6605,1132,1872,5346,500,728,2091,3520,1345,53,2801,152,60,951,7737
83,2012,6161,1052,1686,4971,529,568,1922,3318,1357,48,2156,164,103,1096,7213
83,2013,5435,963,1667,4144,569,444,1657,3101,1147,49,1620,205,85,1020,6398
83,2014,4745,783,1506,3491,503,326,1450,2605,1089,58,1289,319,90,885,5528
83,2015,3723,608,1328,2684,301,197,1038,2158,915,23,828,233,38,741,4331
83,2016,3153,583,1282,2281,157,178,848,1883,798,29,776,190,39,780,3736
83,2017,2835,657,1326,2068,88,154,764,1855,683,36,647,263,38,719,3492
83,2018,2530,523,1211,1802,31,113,624,1626,665,25,496,246,35,705,3053
83,2019,2269,474,1197,1516,24,88,579,1550,490,36,430,170,26,745,2743
83,2020,1579,296,980,880,12,62,365,1136,292,20,162,174,14,559,1875
83,2021,1641,353,998,967,18,67,397,1196,317,17,235,125,34,571,1994
83,2022,1956,356,1139,1137,28,91,437,1376,378,30,169,156,48,610,2312
84,2006,3294,816,1480,2238,298,429,977,1952,722,30,357,221,52,527,4110
84,2007,3268,906,1386,2331,349,449,960,2012,734,19,428,228,69,560,4174
84,2008,3437,903,1464,2360,427,431,1034,2009,839,27,464,276,58,430,4340
84,2009,3794,985,1407,2704,603,546,1160,2128,914,31,358,337,98,451,4779
84,2010,3978,1021,1411,2662,850,477,1150,2205,1124,43,336,355,93,525,4999
84,2011,4184,1036,1348,2704,1109,460,1199,2250,1253,58,352,305,45,542,5220
84,2012,3506,922,1279,2483,606,373,1114,1892,1017,32,328,317,45,494,4428
84,2013,3431,867,1278,2401,556,345,1092,1914,904,43,277,394,58,430,4298
84,2014,3538,951,1261,2606,595,393,1211,1877,957,51,241,766,43,422,4489
84,2015,3354,997,1372,2392,518,354,1103,1934,923,37,215,888,30,384,4351
84,2016,3274,1057,1290,2708,244,374,1163,1941,797,56,201,977,40,434,4331
84,2017,3370,934,1534,2469,189,277,1013,2072,899,43,201,938,46,482,4304
84,2018,2839,768,1641,1817,58,188,748,1843,773,55,150,776,32,480,3607
84,2019,2448,601,1464,1464,38,129,584,1659,649,28,140,812,24,408,3049
84,2020,1413,335,932,686,27,83,290,1000,358,17,61,381,22,306,1748
84,2021,1600,339,918,909,17,46,341,1030,492,30,63,472,12,350,1939
84,2022,2420,468,1392,1368,48,94,407,1708,644,35,73,1125,8,375,2888
88,2006,2260,631,842,1867,166,349,739,1290,503,10,906,129,32,263,2891
88,2007,2484,661,924,1943,254,318,671,1467,677,12,923,128,31,287,3145
88,2008,2178,589,935,1636,177,330,626,1209,589,13,614,145,31,290,2767
88,2009,2300,708,763,1934,300,360,725,1328,578,17,570,145,40,324,3008
88,2010,2459,661,708,2058,347,398,737,1296,669,20,568,151,31,310,3120
88,2011,2342,750,731,2153,201,342,782,1242,707,19,633,183,27,335,3092
88,2012,2574,825,755,2308,327,360,849,1392,757,41,654,165,18,416,3399
88,2013,2094,592,734,1591,353,234,611,1144,665,32,487,103,17,453,2686
88,2014,2158,563,765,1620,326,247,636,1185,624,29,399,162,27,428,2721
88,2015,1760,556,681,1353,269,194,517,1019,560,26,372,165,18,372,2316
88,2016,2010,518,830,1430,253,148,697,1093,560,30,389,141,35,375,2528
88,2017,1485,373,603,1125,111,81,406,936,412,23,312,154,21,335,1858
88,2018,1010,405,532,826,48,46,236,756,363,14,151,169,14,321,1415
88,2019,946,337,571,694,15,56,253,664,293,17,138,150,13,341,1283
88,2020,763,221,530,445,4,42,188,531,215,8,81,94,14,297,984
88,2021,719,155,456,409,6,61,147,450,197,19,52,68,11,274,874
88,2022,899,295,564,615,9,46,213,660,263,12,68,126,7,363,1194
90,2006,3481,524,1256,2462,268,448,984,1961,593,18,1260,129,41,490,4005
90,2007,3260,432,1174,2212,278,410,1003,1729,530,20,1203,115,35,489,3692
90,2008,3734,519,1220,2644,371,563,1150,1897,618,25,1299,140,103,473,4253
90,2009,3596,510,1162,2628,302,480,1161,1794,650,21,1151,133,42,467,4106
90,2010,3477,568,1134,2598,304,503,1199,1719,611,13,1139,115,50,491,4045
90,2011,4088,598,1147,3216,317,529,1448,1981,702,26,1329,184,43,520,4686
90,2012,3558,586,1018,2775,344,434,1248,1745,702,15,1131,131,60,505,4144
90,2013,3976,597,1104,2875,550,419,1342,2068,724,20,966,177,74,581,4573
90,2014,3405,482,988,2481,387,316,1119,1752,686,14,811,234,55,465,3887
90,2015,3168,440,1044,2298,256,348,988,1693,562,17,701,279,56,473,3608
90,2016,2933,511,1027,2172,216,201,893,1736,592,22,491,301,54,507,3444
90,2017,2779,492,1114,1915,220,167,787,1667,623,27,645,326,63,528,3271
90,2018,2129,410,1137,1336,49,140,587,1353,437,22,452,329,58,444,2539
90,2019,2072,381,1384,1035,25,119,582,1318,410,24,367,282,31,444,2453
90,2020,1252,203,867,573,7,56,274,825,286,14,135,157,16,333,1455
90,2021,1424,253,898,763,12,42,385,939,294,17,91,209,27,410,1677
90,2022,1896,351,1165,1059,10,111,427,1297,382,30,136,302,37,496,2247
94,2006,1356,120,370,941,143,134,335,756,244,7,182,54,176,234,1476
94,2007,1288,107,439,786,138,172,317,662,232,11,201,62,85,205,1395
94,2008,1267,144,446,866,78,181,328,668,228,6,284,65,42,266,1411
94,2009,1458,179,541,983,105,145,449,788,240,15,322,101,40,239,1637
94,2010,1661,215,617,1126,120,165,523,892,283,13,391,76,34,231,1876
94,2011,1455,182,503,1001,130,127,406,812,277,15,254,81,36,249,1637
94,2012,1596,220,541,1114,153,130,449,912,308,17,280,79,106,312,1816
94,2013,1781,242,584,1253,179,133,478,1001,397,14,284,137,142,319,2023
94,2014,1545,211,457,1173,121,102,394,916,334,10,180,188,167,242,1756
94,2015,1240,173,405,920,81,69,338,729,267,10,226,168,59,252,1413
94,2016,1254,199,403,987,49,57,348,752,280,16,207,168,34,225,1453
94,2017,1450,226,477,1150,38,59,340,944,317,16,251,238,39,240,1676
94,2018,1160,205,518,822,15,36,295,782,246,6,137,269,36,248,1365
94,2019,849,124,381,585,5,40,144,594,186,9,60,224,18,206,973
94,2020,533,90,294,324,2,9,95,373,131,15,14,119,14,149,623
94,2021,866,120,445,536,3,21,177,573,205,10,21,175,19,221,986
94,2022,1222,151,701,660,7,36,253,833,230,21,65,220,29,272,1373
100,2006,1331,290,410,1070,134,270,463,635,243,10,227,44,19,273,1621
100,2007,1440,316,442,1078,210,317,481,674,270,14,315,46,39,286,1756
100,2008,1587,317,463,1199,232,304,554,724,313,9,373,66,24,298,1904
100,2009,1727,335,514,1240,296,248,625,845,335,9,294,59,31,338,2062
100,2010,1754,346,495,1261,331,323,642,806,317,12,349,46,23,348,2100
100,2011,1758,314,574,1245,246,318,634,782,333,5,335,69,30,327,2072
100,2012,1544,331,574,1093,195,242,578,741,304,10,288,77,20,324,1875
100,2013,1578,281,588,1082,179,192,538,766,345,18,221,54,30,378,1859
100,2014,1929,429,630,1466,236,260,669,1006,401,22,240,167,30,351,2358
100,2015,1760,350,716,1159,214,201,591,881,421,16,227,157,16,323,2110
100,2016,1673,400,806,1158,81,200,498,994,363,18,147,194,18,397,2073
100,2017,1469,387,733,1082,38,146,398,892,395,25,182,226,33,365,1856
100,2018,1278,274,632,901,9,135,332,714,352,19,131,210,39,329,1552
100,2019,1056,302,568,775,12,141,258,669,271,19,84,158,13,392,1358
100,2020,709,172,485,391,3,78,169,445,174,15,33,70,9,301,881
100,2021,649,178,439,385,2,28,147,466,175,11,42,62,10,246,827
100,2022,805,187,480,506,2,94,185,480,213,20,54,137,14,286,992
101,2006,3008,411,843,2127,425,488,1164,1374,380,12,965,62,23,365,3419
101,2007,3169,510,915,2329,402,464,1206,1582,407,20,1244,53,31,424,3679
101,2008,3431,446,877,2648,327,491,1424,1517,436,9,1341,69,47,424,3877
101,2009,3314,444,794,2597,338,455,1330,1512,450,11,1040,44,38,420,3758
101,2010,3410,462,1020,2555,274,433,1338,1603,482,16,1080,65,39,432,3872
101,2011,3114,454,791,2417,352,414,1278,1396,473,7,1030,48,39,435,3568
101,2012,2907,435,887,2026,401,372,1136,1366,456,12,764,82,51,526,3342
101,2013,2917,477,933,2152,287,303,985,1533,556,17,755,89,41,545,3394
101,2014,3654,600,1045,2749,377,280,1194,2088,671,21,831,155,57,540,4254
101,2015,2648,532,1292,1630,192,269,842,1555,504,10,345,147,49,675,3180
101,2016,2353,542,1200,1581,88,243,742,1388,500,22,303,131,58,651,2895
101,2017,2189,531,1180,1453,65,190,727,1367,414,22,318,116,43,685,2720
101,2018,2196,505,1169,1474,32,230,649,1353,441,28,295,133,54,646,2701
101,2019,1675,459,1108,988,26,166,481,1066,394,27,102,139,67,719,2134
101,2020,1244,316,890,655,8,82,361,821,275,21,103,98,44,485,1560
101,2021,1142,347,846,638,1,66,270,842,296,15,66,74,61,518,1489
101,2022,1267,312,900,674,5,56,270,963,247,43,61,94,22,481,1579
102,2006,3335,504,1492,2161,132,426,1043,1863,492,13,362,210,332,748,3839
102,2007,3842,541,1620,2499,203,494,1329,2016,528,15,656,256,258,708,4383
102,2008,4065,699,1824,2673,207,485,1420,2324,520,15,694,307,265,719,4764
102,2009,3723,559,1669,2428,145,468,1271,1920,602,21,629,192,297,678,4282
102,2010,3806,578,1701,2505,150,449,1391,1961,554,29,698,259,232,730,4384
102,2011,3417,508,1636,2128,126,382,1178,1776,560,29,567,246,175,719,3925
102,2012,3383,543,1483,2283,127,366,1240,1749,552,19,506,268,207,805,3926
102,2013,3884,618,1639,2595,214,315,1351,2114,693,29,520,274,254,871,4502
102,2014,3339,577,1483,2158,239,249,1106,1919,603,39,302,453,176,814,3916
102,2015,3174,562,1518,2022,177,264,1043,1803,598,28,351,317,101,852,3736
102,2016,3754,600,1607,2554,170,232,1368,2081,633,40,571,375,97,777,4354
102,2017,3724,504,1329,2732,93,264,1309,2025,593,37,836,386,64,661,4228
102,2018,2995,501,1455,1999,26,118,918,1883,543,34,459,422,55,696,3496
102,2019,2389,425,1138,1628,19,95,667,1539,485,28,207,296,65,671,2814
102,2020,1685,249,939,982,5,75,448,1037,354,20,88,187,49,591,1934
102,2021,1878,331,1062,1131,4,49,420,1317,376,47,95,169,52,690,2209
102,2022,2144,395,1230,1157,3,69,454,1524,453,39,116,317,45,741,2539
103,2006,5790,1042,1891,4508,395,713,2085,3078,932,23,1694,231,82,794,6832
103,2007,6105,1054,1821,4472,812,710,2110,3246,1067,26,1732,249,91,735,7159
103,2008,6782,1209,1973,5047,918,774,2341,3513,1315,47,1900,278,101,850,7991
103,2009,6900,1319,1892,5089,1183,688,2602,3676,1227,26,1690,247,142,835,8219
103,2010,7250,1360,1871,5310,1377,735,2782,3682,1378,33,1835,198,122,861,8610
103,2011,7122,1300,1796,5367,1158,671,2718,3623,1375,35,1821,230,108,966,8422
103,2012,7280,1327,2067,5071,1250,741,2634,3727,1469,36,1676,217,76,943,8607
103,2013,8294,1469,2579,5862,1041,724,2699,4545,1725,70,1637,420,109,1093,9763
103,2014,8316,1567,2240,6349,969,579,2717,4649,1878,60,1620,616,106,1107,9883
103,2015,7452,1527,2133,5605,1040,573,2438,4065,1836,67,1555,504,89,1038,8979
103,2016,5385,1103,2001,4161,243,370,1822,3065,1180,51,1398,374,65,817,6488
103,2017,4172,770,1632,3227,65,254,1244,2507,896,41,1015,335,81,852,4942
103,2018,3455,677,1607,2440,63,214,1006,2097,777,38,634,306,48,870,4132
103,2019,3372,678,1610,2400,29,154,911,2176,767,42,493,418,46,941,4050
103,2020,2545,448,1518,1451,16,110,583,1693,572,35,437,351,47,735,2993
103,2021,2685,556,1657,1570,2,76,625,1847,646,47,429,318,29,874,3241
103,2022,3331,799,2103,2008,8,144,733,2469,730,54,426,361,38,1059,4130
104,2006,3476,506,1465,2357,119,440,1176,1889,457,20,1054,165,111,462,3982
104,2007,3059,486,1173,2105,198,435,978,1598,510,24,911,147,89,514,3545
104,2008,3243,533,1038,2514,179,474,1046,1766,476,13,832,180,138,531,3776
104,2009,3673,664,1139,2976,200,600,1219,1928,562,28,1033,193,108,679,4337
104,2010,4297,762,1317,3533,172,750,1466,2185,639,19,1199,162,119,789,5059
104,2011,4122,696,1080,3607,114,685,1536,2008,573,16,1168,167,103,763,4818
104,2012,3857,704,1035,3383,116,559,1313,2040,623,26,952,172,139,729,4561
104,2013,3784,637,1056,3165,176,387,1178,2139,668,49,807,240,146,700,4421
104,2014,3775,607,1026,3071,260,269,1202,2190,680,41,726,391,146,701,4382
104,2015,3002,541,949,2419,157,224,948,1746,579,46,525,349,86,593,3543
104,2016,2534,464,915,1971,101,211,726,1527,508,26,308,363,105,619,2998
104,2017,2537,456,933,1941,111,190,784,1514,480,25,399,364,88,589,2993
104,2018,2185,439,929,1656,27,113,591,1428,464,28,393,390,73,577,2624
104,2019,1813,425,819,1379,27,115,432,1264,400,27,159,412,78,546,2238
104,2020,1528,373,735,1148,14,55,343,1069,406,28,106,288,64,616,1901
104,2021,1532,365,741,1139,4,34,320,1130,381,32,66,215,75,622,1897
104,2022,1616,363,897,1066,6,87,329,1164,366,33,63,231,57,611,1979
105,2006,4278,706,1497,3333,110,499,1497,2337,624,25,1194,131,62,784,4984
105,2007,3785,701,1457,2780,98,482,1377,2024,581,22,1154,170,65,723,4486
105,2008,3292,639,1227,2580,94,384,1293,1768,467,19,1145,161,68,715,3931
105,2009,3868,680,1350,3001,157,425,1497,2016,588,22,1228,170,114,778,4548
105,2010,3931,671,1357,3034,174,378,1552,2037,617,18,1209,172,108,755,4602
105,2011,3862,733,1548,2878,136,432,1445,2077,617,24,1207,208,89,797,4595
105,2012,3764,722,1577,2716,153,431,1426,1986,622,21,1134,179,108,717,4486
105,2013,4303,777,1590,3214,174,337,1581,2366,745,51,866,197,124,885,5080
105,2014,4169,782,1808,2951,143,265,1445,2406,797,38,793,257,117,905,4951
105,2015,3164,773,1661,2108,143,183,1072,1990,665,27,473,245,102,904,3937
105,2016,3007,792,1445,2155,145,190,1042,1895,634,38,359,228,101,887,3799
105,2017,3153,746,1573,2187,106,193,1059,2013,606,28,502,282,92,870,3899
105,2018,2564,631,1427,1715,26,148,714,1718,561,54,255,238,71,933,3195
105,2019,2154,556,1231,1442,18,122,623,1436,490,39,130,216,68,883,2710
105,2020,1682,400,1062,1003,1,92,401,1211,344,34,59,181,33,724,2082
105,2021,1736,402,1179,943,3,82,471,1188,372,25,54,162,32,704,2138
105,2022,2168,516,1376,1169,0,122,497,1560,456,49,56,160,44,863,2684
106,2006,2952,370,948,1996,344,448,950,1473,431,17,533,128,170,535,3322
106,2007,3514,435,1165,2313,391,464,1164,1800,505,16,956,131,169,569,3949
106,2008,3038,403,947,2175,286,371,1121,1519,416,11,789,135,115,514,3441
106,2009,3272,429,892,2315,460,375,1106,1671,530,19,697,145,135,495,3701
106,2010,3363,404,944,2348,448,364,1157,1704,528,14,690,159,127,519,3767
106,2011,3286,442,920,2319,464,387,1151,1590,588,12,662,123,101,512,3728
106,2012,3455,497,984,2376,567,365,1239,1643,680,25,480,191,159,552,3952
106,2013,3871,532,1277,2495,577,425,1339,1871,738,30,520,233,143,614,4403
106,2014,3237,537,1194,2077,448,258,1015,1681,792,28,374,358,130,634,3774
106,2015,2946,475,1241,1899,245,240,977,1570,594,40,417,384,88,531,3421
106,2016,2909,445,1262,1906,163,203,975,1522,615,39,415,364,119,513,3354
106,2017,2537,373,1193,1611,91,192,749,1373,558,38,353,303,64,611,2910
106,2018,2388,389,1084,1642,25,114,595,1470,547,51,205,280,70,682,2777
106,2019,2039,380,1087,1306,12,117,558,1233,455,56,176,258,51,690,2419
106,2020,1464,271,910,812,7,97,349,896,363,30,54,260,41,576,1735
106,2021,1625,294,956,950,4,42,324,1085,428,40,49,202,61,676,1919
106,2022,1954,363,1161,1140,8,84,413,1293,480,47,72,372,52,727,2317
107,2006,2847,536,913,2292,135,585,985,1391,393,28,330,121,69,468,3383
107,2007,2526,484,821,1829,185,501,875,1254,358,21,322,137,60,420,3010
